"Ensemle_ID"	"Ensemle_ID"	"ENTREZID"	"SYMBOL"	"GENENAME"	"ERR1084811_ER"	"ERR1084806_ER"	"ERR1084805_ER"	"ERR1084775_ER"	"ERR1084765_ER"	"ERR1084764_ER"	"ERR1084763_ER"	"ERR1084808_TN"	"ERR1084809_TN"	"ERR1084807_TN"	"ERR1084810_TN"	"ERR1084803_TN"	"ERR1084802_TN"	"ERR1084801_TN"	"ERR1084804_TN"	"ERR1084800_TN"	"ERR1084799_TN"	"ERR1084798_TN"	"ERR1084768_TN"	"ERR1084766_TN"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"608"	"ENSG00000114999"	"150465"	"TTL"	"tubulin tyrosine ligase"	719	531	1789	1032	881	1108	935	1962	1240	1971	117	1381	1481	2381	2750	1463	768	1240	1108	234	1108.44686499377	0.717452748109525	0.263867384943075	2.71898987540391	0.00654816123994389	0.0346247227500017
"609"	"ENSG00000115091"	"10096"	"ACTR3"	"ARP3 actin related protein 3 homolog"	3754	2573	4431	3588	2672	2210	2005	6114	5082	11102	628	6778	2823	6119	5905	5545	6471	4612	2445	377	3668.41681793518	0.856258081253796	0.246090506966147	3.479443769733	0.000502455800282531	0.00478848411119547
"610"	"ENSG00000115107"	"55240"	"STEAP3"	"STEAP3 metalloreductase"	1056	930	1258	531	1528	2024	1778	3119	6001	3433	131	3477	1188	6361	9611	2526	661	3191	3723	43	2143.50027426232	1.39460676966588	0.484888605924506	2.87613846278542	0.00402573075449026	0.0239634227185692
"611"	"ENSG00000115109"	"57669"	"EPB41L5"	"erythrocyte membrane protein band 4.1 like 5"	2347	1658	1676	3446	1943	1520	1574	1379	608	1476	65	1963	648	1086	1264	1454	527	1179	594	54	1097.53953199441	-0.960735172040531	0.319909440345212	-3.00314730007283	0.00267203068080477	0.0176300248215011
"612"	"ENSG00000115129"	"9540"	"TP53I3"	"tumor protein p53 inducible protein 3"	264	181	690	819	192	191	185	2388	913	574	143	377	704	779	1133	1798	293	901	950	136	647.174370175451	1.61174226155359	0.431792346487093	3.73267908675581	0.00018945390634625	0.00216600157007109
"613"	"ENSG00000115226"	"64838"	"FNDC4"	"fibronectin type III domain containing 4"	41	201	106	18	0	5	2	528	204	724	11	159	323	115	342	28	115	159	1581	63	212.870916346613	2.83925214633317	0.820651971132816	3.45975181466256	0.000540673472108932	0.00508070338695842
"614"	"ENSG00000115255"	"92840"	"REEP6"	"receptor accessory protein 6"	1755	2985	2461	1570	787	1298	1141	344	299	100	174	6593	63	134	1	40	135	58	329	8	620.774529474813	-2.64579338979299	0.70687614349626	-3.74293773263688	0.000181881311409565	0.00209956036722652
"615"	"ENSG00000115275"	"7841"	"MOGS"	"mannosyl-oligosaccharide glucosidase"	1852	2677	2063	2933	2800	3077	2633	3277	4003	7088	1299	2570	3678	2292	4390	2836	2448	4519	3611	458	2869.82827975343	0.69410844844588	0.241873333782709	2.86971878044831	0.00410837007364148	0.0243230890251943
"616"	"ENSG00000115295"	"79745"	"CLIP4"	"CAP-Gly domain containing linker protein family member 4"	197	0	90	345	12	1	1	850	1679	2495	44	105	260	611	305	1222	752	319	2676	11	485.801174285978	3.29193365107119	0.903777454391711	3.64241621106474	0.000270090905602004	0.00290671899106433
"617"	"ENSG00000115353"	"6869"	"TACR1"	"tachykinin receptor 1"	0	14	1	2	6	3	5	1	32	136	18	9	0	1	133	553	0	28	23	0	42.1625671063426	4.14469378795287	1.16984767687293	3.54293458019414	0.000395700850759544	0.00394752613650459
"618"	"ENSG00000115355"	"55704"	"CCDC88A"	"coiled-coil domain containing 88A"	522	1389	100	92	807	871	929	2393	1327	2453	72	1351	5081	885	7335	1669	1879	1875	1615	268	1466.76982701032	1.83321347967662	0.53672506916793	3.41555404244225	0.000636523974289227	0.00574470553120563
"619"	"ENSG00000115364"	"9801"	"MRPL19"	"mitochondrial ribosomal protein L19"	520	1252	1669	1319	1931	1390	928	1050	1815	2730	356	2497	1183	1218	2053	1447	1690	1880	2369	193	1312.77939893828	0.556594503150433	0.209150658889865	2.66121324266793	0.00778596296928474	0.0392772553943895
"620"	"ENSG00000115392"	"55120"	"FANCL"	"FA complementation group L"	616	825	514	580	593	478	538	803	1091	724	1670	837	641	1332	1365	819	419	1198	1245	917	902.787094001722	1.25235010754139	0.436296975819762	2.87040749065092	0.00409943130211934	0.0242973524882902
"621"	"ENSG00000115414"	"2335"	"FN1"	"fibronectin 1"	501	11044	10733	236	601	423	522	59	3304	81733	4718	2139	31021	422	28813	7012	38535	4671	113	13225	13737.4186821276	2.88294332675898	0.993648919106556	2.90137016336836	0.00371534708665601	0.0225456751600479
"622"	"ENSG00000115419"	"2744"	"GLS"	"glutaminase"	771	719	514	984	1278	1113	1071	740	777	5292	429	2898	1981	1332	2240	2383	10423	3536	3	289	1728.9569859525	1.62240290128229	0.629005941220612	2.57931252308039	0.00989971783207795	0.0469270233449167
"623"	"ENSG00000115484"	"10575"	"CCT4"	"chaperonin containing TCP1 subunit 4"	2363	4748	8975	5165	7661	6429	5272	6529	6668	12249	687	9938	3929	7970	15051	7761	6432	17935	13335	899	6343.82839967736	0.693234863274186	0.266850852178834	2.59783642290789	0.00938131722917113	0.0451231264221708
"624"	"ENSG00000115504"	"23301"	"EHBP1"	"EH domain binding protein 1"	603	878	863	948	1197	1332	1284	1165	949	3799	217	1377	876	731	1663	1481	1376	1741	2522	190	1098.20631264767	0.64015133070448	0.241673253894589	2.6488298576213	0.00807709838918662	0.0403040447970315
"625"	"ENSG00000115507"	"5013"	"OTX1"	"orthodenticle homeobox 1"	98	640	194	162	65	51	51	266	1075	1133	1	1717	205	720	520	2647	669	1349	1862	101	567.508107364992	2.46599211744305	0.634949048378784	3.88376378189631	0.000102851835127901	0.00130566073567254
"626"	"ENSG00000115590"	"7850"	"IL1R2"	"interleukin 1 receptor type 2"	7	0	15	0	3	1	0	4	24	83	2	0	0	55	1	304	8	180	6	0	27.4226528062131	3.82138541294778	1.25490124774513	3.0451682312168	0.00232550190899871	0.0158582783586347
"627"	"ENSG00000115596"	"7475"	"WNT6"	"Wnt family member 6"	73	0	39	1	0	0	1	515	627	407	6	18	213	13	213	23	151	182	0	0	106.058309997089	3.51422598494854	1.22691634924478	2.86427512936127	0.00417964802644983	0.0246447007171088
"628"	"ENSG00000115598"	"8808"	"IL1RL2"	"interleukin 1 receptor like 2"	0	0	15	23	11	1	1	3	81	355	32	0	12	359	39	99	10	80	166	0	55.5569772993547	3.93179803573361	1.03085103725541	3.8141282238041	0.000136664501525845	0.00165099027246353
"629"	"ENSG00000115604"	"8809"	"IL18R1"	"interleukin 18 receptor 1"	4	0	0	0	1	0	0	0	44	50	0	34	10	24	0	83	0	4	14	7	12.632239219121	4.97446819144791	1.29607485905543	3.83810252678867	0.000123988714381049	0.00151884727327033
"630"	"ENSG00000115648"	"79083"	"MLPH"	"melanophilin"	17830	8255	13787	24728	21349	26399	23599	9	1091	1600	1093	7427	6	575	222	462	457	32	21	14	6202.4675475252	-3.66020327656045	0.952379120374384	-3.84322083323457	0.000121430111198807	0.00149588892738897
"631"	"ENSG00000115652"	"80146"	"UXS1"	"UDP-glucuronate decarboxylase 1"	851	1060	664	1232	489	508	489	2205	2499	2570	435	1852	1779	856	1704	674	524	937	607	146	1054.34701082181	1.1069784219986	0.373089200620232	2.96706101425164	0.00300661287776716	0.0192609760491449
"632"	"ENSG00000115661"	"8576"	"STK16"	"serine/threonine kinase 16"	1454	1709	989	1609	1491	1990	1842	903	1151	1076	167	654	754	999	402	1019	429	663	618	72	873.160837378328	-0.946113269862768	0.249341586471586	-3.79444633865994	0.000147973278950476	0.0017640432668337
"633"	"ENSG00000115758"	"4953"	"ODC1"	"ornithine decarboxylase 1"	1457	2535	1901	809	752	542	456	2895	1396	1271	375	2575	1619	3617	1636	1776	1614	7212	4921	250	1781.84514881627	1.20162067394848	0.407740595701799	2.94702241232631	0.00320849947697332	0.020194220250199
"634"	"ENSG00000115761"	"79954"	"NOL10"	"nucleolar protein 10"	772	1026	937	1081	1021	893	888	1302	1409	928	180	1464	961	2035	1206	1074	1351	2325	4196	168	1116.38917403906	0.8094180508277	0.271633141713921	2.97982067180949	0.00288417174867918	0.0186957915107782
"635"	"ENSG00000115902"	"6509"	"SLC1A4"	"solute carrier family 1 member 4"	550	718	3609	3283	5073	5274	4678	219	887	2830	106	1791	1214	691	1371	862	594	4028	362	143	1554.40480165754	-1.37124992361266	0.487653275879558	-2.81193624945798	0.00492442623126583	0.0279672860042029
"636"	"ENSG00000115956"	"5341"	"PLEK"	"pleckstrin"	0	0	0	1	0	0	0	0	24	2	1	5	2	1	6	1	2	5	4	0	2.39254119808567	4.24838175356236	1.12252357874715	3.78467039267361	0.000153912427032382	0.00182181144901332
"637"	"ENSG00000116062"	"2956"	"MSH6"	"mutS homolog 6"	2021	3214	3328	3167	3163	3447	3180	2840	3610	4599	4092	5269	2199	4969	7310	3912	3938	13411	5050	4349	5609.99946390124	1.58844523445892	0.486575884083333	3.26453752933402	0.00109642936743517	0.00884504212986961
"638"	"ENSG00000116157"	"2882"	"GPX7"	"glutathione peroxidase 7"	275	334	0	11	11	0	2	386	715	309	63	477	687	535	1486	1030	576	1162	2052	127	469.013827173117	3.13196912682264	0.889748380303151	3.52006162209088	0.000431446547704126	0.00424121012242733
"639"	"ENSG00000116251"	"6146"	"RPL22"	"ribosomal protein L22"	3604	1967	5850	4784	4336	3394	3234	1885	5980	5605	1806	4737	5414	8364	7766	3749	3430	10560	4185	2056	4679.76976780008	0.865920262218534	0.327701587634188	2.64240484298525	0.00823195933212716	0.0408745924656757
"640"	"ENSG00000116350"	"6429"	"SRSF4"	"serine and arginine rich splicing factor 4"	2638	3174	3565	3866	2550	1800	1755	1887	3411	5918	625	3671	2624	5211	4456	3549	3468	5652	3498	1112	3002.13703503723	0.65788147098946	0.213058617723537	3.08779564055523	0.00201647086278769	0.0141940842125339
"641"	"ENSG00000116514"	"127544"	"RNF19B"	"ring finger protein 19B"	837	627	722	1005	522	365	384	1677	555	2510	95	906	633	885	2295	430	1442	961	966	166	787.350601430207	0.891553667437789	0.326002131166369	2.73480932240532	0.00624164206047487	0.0334012540950978
"642"	"ENSG00000116525"	"55223"	"TRIM62"	"tripartite motif containing 62"	778	641	827	832	759	478	404	226	316	598	33	736	333	261	356	467	312	129	407	67	385.224616885674	-0.807799826805526	0.274570818833703	-2.94204544473016	0.00326052074334995	0.020413864295975
"643"	"ENSG00000116544"	"58512"	"DLGAP3"	"DLG associated protein 3"	47	4	22	455	1143	986	739	53	129	78	0	219	44	87	7	446	70	11	44	9	185.731922004421	-2.25211598260677	0.844828361966926	-2.66576749076392	0.00768127971437576	0.0388762877400488
"644"	"ENSG00000116584"	"9181"	"ARHGEF2"	"Rho/Rac guanine nucleotide exchange factor 2"	1908	1797	3022	6157	2949	3728	3392	3451	3729	8632	888	2666	3265	3729	4655	4890	6347	9363	6078	439	3552.86718777433	0.670255432409967	0.251872771616578	2.66108729462146	0.00778887606917211	0.0392843947434956
"645"	"ENSG00000116641"	"85440"	"DOCK7"	"dedicator of cytokinesis 7"	481	702	854	861	786	623	562	514	1721	520	175	1124	556	972	6871	1578	745	1807	2427	61	1004.80110819582	1.1944742862995	0.441426272554502	2.70594289593858	0.00681107569637684	0.0355561469524035
"646"	"ENSG00000116668"	"54823"	"SWT1"	"SWT1, RNA endoribonuclease homolog"	106	225	164	95	248	127	137	174	167	618	119	141	104	300	304	227	299	234	385	127	231.611664732751	1.18993057779196	0.38209499544678	3.11422706911035	0.00184427496258054	0.013241088694495
"647"	"ENSG00000116670"	"10459"	"MAD2L2"	"mitotic arrest deficient 2 like 2"	592	1197	1430	1109	1488	1404	1311	1321	878	1564	562	3062	2240	3117	1786	1108	2507	3030	746	622	1569.39275104625	0.98014097472767	0.339720793452406	2.88513683477248	0.00391243569210686	0.0234862556413108
"648"	"ENSG00000116703"	"5132"	"PDC"	"phosducin"	1	2	0	6	13	1	0	84	8	14	14	0	7	2	1	4	6	1	31	13	16.3138568438593	3.17254828473603	1.05546326298712	3.00583487459074	0.00264852782080471	0.017514608965266
"649"	"ENSG00000116717"	"1647"	"GADD45A"	"growth arrest and DNA damage inducible alpha"	198	264	523	818	132	110	120	2100	312	1054	90	691	221	212	2291	280	1269	537	827	166	569.050762387673	1.6547783235	0.517722230210106	3.19626669851215	0.00139218362950368	0.0106824150923735
"650"	"ENSG00000116729"	"79971"	"WLS"	"wntless Wnt ligand secretion mediator"	162	5	511	2	17	2	4	955	137	141	24	3516	230	1059	555	117	1742	100	5	171	450.468413604541	3.08608937911031	0.985331049645877	3.13203301592844	0.00173600352047827	0.0126578160499259
"651"	"ENSG00000116745"	"6121"	"RPE65"	"RPE65, retinoid isomerohydrolase"	0	9	0	0	0	0	0	48	1	57	0	0	3	0	1	10	146	4	0	10	14.6067559576992	4.36862659242797	1.60123369862349	2.72828794209332	0.00636640088484634	0.033895979700947
"652"	"ENSG00000116752"	"10286"	"BCAS2"	"BCAS2, pre-mRNA processing factor"	638	711	825	695	800	524	515	385	1783	1064	212	1226	741	1133	2181	1028	1107	455	879	305	820.63256500395	0.868950312244659	0.283490676694377	3.06518126937011	0.00217538106541783	0.0150497808500958
"653"	"ENSG00000116786"	"23207"	"PLEKHM2"	"pleckstrin homology and RUN domain containing M2"	1375	1473	2334	2379	1787	1256	1044	2018	2073	4514	191	2621	2216	3077	5663	1918	3609	3087	1855	397	1937.69854099312	0.806689728520089	0.227646767563294	3.54360282447587	0.000394699363542958	0.00393903356455143
"654"	"ENSG00000116815"	"965"	"CD58"	"CD58 molecule"	93	181	275	157	201	119	113	648	987	393	20	479	235	565	575	385	529	140	533	10	280.635145415319	1.52055017923408	0.398684883392322	3.81391480483546	0.000136782638071124	0.00165165665225201
"655"	"ENSG00000116871"	"55700"	"MAP7D1"	"MAP7 domain containing 1"	1826	2344	4527	2461	2640	2295	2028	6175	6049	8587	170	3962	3195	6742	13012	3045	5807	2509	2951	374	3368.66526925204	1.01289890544355	0.345769293586206	2.92940675829857	0.00339609685901689	0.0210566033856823
"656"	"ENSG00000116954"	"64121"	"RRAGC"	"Ras related GTP binding C"	447	646	674	753	357	259	275	525	1456	1763	87	557	509	704	1836	709	1396	495	631	84	601.819612528635	0.909561544480968	0.30333266663677	2.99856113278474	0.00271257730754454	0.0178347367874081
"657"	"ENSG00000117016"	"9783"	"RIMS3"	"regulating synaptic membrane exocytosis 3"	110	58	661	217	478	281	254	203	683	1813	106	716	80	424	1860	1069	319	664	515	79	449.202985462791	1.33022500083797	0.462908500120797	2.87362405419395	0.00405791677904552	0.0241003132617814
"658"	"ENSG00000117036"	"2117"	"ETV3"	"ETS variant 3"	1157	826	817	958	810	827	755	750	1769	2149	281	705	661	2018	2667	1000	2827	1003	2459	703	1254.13280702622	1.13535194910129	0.34210328726678	3.31874024997577	0.000904244993563567	0.00760116456608707
"659"	"ENSG00000117115"	"11240"	"PADI2"	"peptidyl arginine deiminase 2"	166	172	6255	1814	1113	832	667	55	14588	17340	1845	12846	6081	9029	26100	6163	12090	9327	7025	2	5625.34422972418	2.77853646357166	0.774011875582255	3.58978531367041	0.000330950417495506	0.00343212202437906
"660"	"ENSG00000117133"	"80135"	"RPF1"	"ribosome production factor 1 homolog"	2138	2242	1519	1270	2949	2396	1958	699	1264	943	206	1651	671	1639	831	958	538	1782	1182	293	1222.11755258635	-0.75448587800228	0.267342203333772	-2.82217273813786	0.0047699477423852	0.0273087577907742
"661"	"ENSG00000117143"	"6675"	"UAP1"	"UDP-N-acetylglucosamine pyrophosphorylase 1"	1039	1002	1239	890	1379	1324	1299	655	2583	8348	214	1539	1254	2175	1964	1068	3326	2082	2916	450	1579.88997006685	1.0526007740229	0.314655593910022	3.34524729385201	0.00082209235971203	0.00705175938941451
"662"	"ENSG00000117222"	"5929"	"RBBP5"	"RB binding protein 5, histone lysine methyltransferase complex subunit"	460	575	1253	730	679	633	643	600	724	1096	129	682	659	985	1323	947	1007	1112	979	118	675.76906225198	0.413857897654569	0.152281691058174	2.71771277806778	0.00657348738312169	0.034723636172635
"663"	"ENSG00000117280"	"8934"	"RAB29"	"RAB29, member RAS oncogene family"	102	1443	131	817	633	469	416	726	1411	1373	315	629	809	1316	1283	1040	1504	1226	1674	70	796.872741343623	1.10801492258863	0.404322432551563	2.7404240610551	0.00613599595045114	0.0329569456875859
"664"	"ENSG00000117305"	"3155"	"HMGCL"	"3-hydroxy-3-methylglutaryl-CoA lyase"	587	1348	662	1632	706	388	404	323	678	688	64	642	466	403	399	341	574	258	470	24	465.434623204573	-0.79688627625553	0.306474803501247	-2.60016897686758	0.00931778664050067	0.0448893442726692
"665"	"ENSG00000117395"	"10969"	"EBNA1BP2"	"EBNA1 binding protein 2"	1300	2121	2298	2555	1950	1524	1408	1780	2737	3039	732	2661	1508	3665	4210	1433	1834	1590	3486	517	2008.97351288715	0.6334380376762	0.244747036866902	2.58813363293414	0.00964975367111049	0.0460907101679503
"666"	"ENSG00000117400"	"4352"	"MPL"	"MPL proto-oncogene, thrombopoietin receptor"	5	3	13	20	15	9	3	9	16	49	10	9	9	14	46	24	21	28	43	5	17.3692651523436	1.5161702738884	0.443117614261578	3.42159784466023	0.000622543204898189	0.00565158900479917
"667"	"ENSG00000117411"	"8704"	"B4GALT2"	"beta-1,4-galactosyltransferase 2"	1070	2727	2847	2691	2276	2085	1670	2070	3160	3172	1188	1946	2696	3974	3199	2333	2684	2539	4596	751	2494.22816196227	0.756709189436988	0.275512554932477	2.74655065945159	0.00602255841113819	0.0325074376309778
"668"	"ENSG00000117481"	"387338"	"NSUN4"	"NOP2/Sun RNA methyltransferase family member 4"	618	851	1202	1062	973	627	647	470	1761	1681	276	862	529	1649	2318	1476	936	1034	1242	142	907.32482451868	0.625070998661783	0.241551069233543	2.58773848795277	0.0096608293863685	0.0461104180655419
"669"	"ENSG00000117507"	"388714"	"FMO6P"	"flavin containing monooxygenase 6 pseudogene"	1	2	0	1	0	2	0	0	0	0	5	4	0	210	2	76	9	196	14	0	21.6345752244503	5.57791531030143	1.45541573338918	3.83252371287228	0.000126835369137793	0.00154793449342806
"670"	"ENSG00000117519"	"1266"	"CNN3"	"calponin 3"	467	1608	3938	4363	3466	1917	1694	1119	3852	8022	1011	4836	4008	4278	10746	7394	3959	3400	2574	701	3311.59078506895	1.08829554303753	0.363998036875298	2.98983904523191	0.00279124485361836	0.0182195069128543
"671"	"ENSG00000117602"	"11123"	"RCAN3"	"RCAN family member 3"	717	1229	1236	742	690	542	481	676	910	2562	192	2555	1360	1535	1427	2117	2412	2826	1980	74	1118.98801370577	1.11535330642113	0.297906454427792	3.74397160532643	0.000181134132246509	0.00209277748300846
"672"	"ENSG00000117632"	"3925"	"STMN1"	"stathmin 1"	1787	5634	9679	2664	2748	2335	1827	1687	5521	12165	436	10062	7712	15819	12586	10530	11760	23668	5220	1080	6109.32721997826	1.40325430378008	0.409601441702931	3.42590176915882	0.000612761946833381	0.00558296744397922
"673"	"ENSG00000117676"	"6195"	"RPS6KA1"	"ribosomal protein S6 kinase A1"	976	780	2454	1745	826	833	871	2697	1214	3180	247	2387	3185	2379	4617	2144	2736	1262	2226	207	1628.44674209261	1.08495253015251	0.2954330916485	3.67241368967349	0.000240270313012198	0.00264196861470356
"674"	"ENSG00000117724"	"1063"	"CENPF"	"centromere protein F"	2116	4593	6034	2314	1518	1504	1403	1996	3778	4895	543	2315	6575	8696	7019	4486	9023	4312	4430	751	3505.81368993995	0.951004200685987	0.340701905867969	2.79130871975376	0.00524953755287808	0.0293434828216823
"675"	"ENSG00000117834"	"200010"	"SLC5A9"	"solute carrier family 5 member 9"	36	13	20	2	26	28	14	0	46	136	149	18	41	86	10	3	15	120	110	95	99.3868447175806	3.14328218969392	0.930619229375079	3.37762437146788	0.000731148810466485	0.0064391671766637
"676"	"ENSG00000117862"	"51060"	"TXNDC12"	"thioredoxin domain containing 12"	1424	1909	1772	2174	1185	1050	965	2250	3654	1829	523	2897	1317	2624	3673	1921	1386	1319	2205	199	1654.57267388619	0.688527368706752	0.261466227551972	2.63333194177015	0.00845516678417869	0.0417300826587607
"677"	"ENSG00000118058"	"4297"	"KMT2A"	"lysine methyltransferase 2A"	2394	1640	2551	3102	1739	1949	1795	3302	2936	6209	302	4444	2444	2537	2573	5136	3163	4302	1672	333	2356.31587598513	0.65475905854571	0.227660085799868	2.87603800308368	0.00402701224461153	0.0239656115587535
"678"	"ENSG00000118094"	"11181"	"TREH"	"trehalase"	136	281	295	297	176	217	206	417	503	518	269	902	322	229	233	513	425	462	40	949	343.481591437116	1.24777682947864	0.4548181320364	2.74346324736845	0.00607948532096092	0.0327002997360217
"679"	"ENSG00000118307"	"55259"	"CASC1"	"cancer susceptibility 1"	88	63	31	80	33	34	33	2	17	36	0	7	3	25	3	10	42	1	1	2	20.8932430609401	-2.07905778139108	0.628286604054357	-3.30909137322814	0.000935992848257269	0.0078079785086652
"680"	"ENSG00000118473"	"84251"	"SGIP1"	"SH3 domain GRB2 like endophilin interacting protein 1"	1	0	0	1	4	0	0	0	10	2	0	0	2	2	2	9	334	111	2	20	11.6479181518111	4.65616849930309	1.37622001682082	3.38330240978418	0.000716197224595631	0.00634156131312276
"681"	"ENSG00000118496"	"84085"	"FBXO30"	"F-box protein 30"	180	114	337	252	242	217	259	379	254	423	54	184	197	464	357	487	633	1869	422	68	326.111586634914	1.17029904633099	0.365435485148924	3.20247784873453	0.00136250778496595	0.0105287247131119
"682"	"ENSG00000118503"	"7128"	"TNFAIP3"	"TNF alpha induced protein 3"	126	97	1828	74	251	280	264	1453	601	1531	91	534	699	1017	2230	776	1138	1078	396	761	830.815389014643	1.81877059035384	0.583058884274475	3.11936004991506	0.00181244337901573	0.013078094363896
"683"	"ENSG00000118523"	"1490"	"CTGF"	"connective tissue growth factor"	18	119	2223	1	2	0	16	21	1076	38263	290	61	5704	694	2360	1557	2961	951	80	203	911.441765054259	3.5353877130531	1.04259760303327	3.39094172360215	0.000696529101090833	0.00619249787603704
"684"	"ENSG00000118600"	"10329"	"RXYLT1"	"ribitol xylosyltransferase 1"	414	630	325	752	778	682	591	249	311	431	35	549	189	491	337	246	132	293	336	35	330.364784850248	-0.897018322379285	0.241948724863786	-3.70747282460073	0.000209337872454428	0.00236016773021127
"685"	"ENSG00000118655"	"64858"	"DCLRE1B"	"DNA cross-link repair 1B"	142	284	585	299	272	236	226	236	455	484	71	392	189	485	1361	602	365	249	607	185	370.951755450977	0.976478031206049	0.353475498477798	2.76250556378346	0.00573595841569665	0.0313606381839641
"686"	"ENSG00000118702"	"2691"	"GHRH"	"growth hormone releasing hormone"	39	0	0	1	10	2	10	1	0	0	0	1	1	0	0	0	0	0	0	1	3.13796794893651	-4.31795425840516	1.36027661284909	-3.17432073566364	0.00150187630777798	0.0113319073429497
"687"	"ENSG00000118733"	"118427"	"OLFM3"	"olfactomedin 3"	1	0	0	0	182	578	507	2	6	1	0	0	16	0	8	0	0	3	4	0	53.0624664864184	-5.67550758037387	1.49182892855823	-3.80439571302518	0.000142150783466029	0.00170548426256337
"688"	"ENSG00000118898"	"5493"	"PPL"	"periplakin"	2119	1206	3790	1110	1273	962	824	524	4321	4443	1573	4710	1000	2029	2230	9877	4445	5419	5377	46	2678.81155154372	1.43778941334404	0.520423126411463	2.76273159353659	0.00573198810402817	0.0313470216642492
"689"	"ENSG00000118971"	"894"	"CCND2"	"cyclin D2"	0	0	156	0	0	1	0	0	1	103	0	58	1	0	0	96	6	1	0	69	30.7927392938389	5.98059418404699	1.77494160830164	3.36945968029312	0.000753157090816876	0.0065887016534874
"690"	"ENSG00000119280"	"84886"	"C1orf198"	"chromosome 1 open reading frame 198"	758	2236	4667	1712	1698	1878	1696	659	4614	11623	466	8966	5222	9876	6243	8210	6025	3316	2801	208	3436.50084621527	1.4439676053016	0.411938342578519	3.50530032301223	0.000456092480542062	0.00444351318245789
"691"	"ENSG00000119283"	"440730"	"TRIM67"	"tripartite motif containing 67"	3	3	0	5	4	2	3	7	41	12	5	2	17	2	5	1	40	4	4	6	9.69522445330316	2.49012258866234	0.755491762504006	3.29602877522988	0.000980619705998225	0.00809754341519681
"692"	"ENSG00000119285"	"55127"	"HEATR1"	"HEAT repeat containing 1"	2051	3197	4008	2092	2176	2080	1678	2816	4799	6021	1544	1704	2041	5035	3978	2737	3684	2565	5554	3173	3716.4377490573	1.25949522002618	0.433023603240919	2.90860639142906	0.00363043624408005	0.0221276903029253
"693"	"ENSG00000119397"	"11064"	"CNTRL"	"centriolin"	408	442	638	324	448	391	409	513	583	830	60	571	848	2014	2234	1642	1478	708	195	239	681.581100785284	1.31253753031262	0.381815304486795	3.43762419915783	0.000586841525122089	0.00539626022752907
"694"	"ENSG00000119403"	"26147"	"PHF19"	"PHD finger protein 19"	779	1037	1765	1004	1072	1069	935	1457	1281	2437	63	3210	3422	4402	4200	2986	3066	1722	1091	297	1617.78434045469	1.23644272998895	0.345752635768409	3.57609054010839	0.000348770901832921	0.00358433167804546
"695"	"ENSG00000119440"	NA	NA	NA	0	0	0	0	0	0	0	0	0	4	0	5	0	39	2	1	0	0	0	10	4.96584478145902	5.65316437539363	2.06649275867465	2.73563231792755	0.00622605496868108	0.0333382490125763
"696"	"ENSG00000119457"	"57864"	"SLC46A2"	"solute carrier family 46 member 2"	6	22	14	8	6	5	7	80	22	18	25	4	5	10	8	22	39	6	18	38	31.6679514122209	2.46331241278977	0.757661854207296	3.25120289362728	0.0011491781573744	0.00916651324010288
"697"	"ENSG00000119535"	"1441"	"CSF3R"	"colony stimulating factor 3 receptor"	500	41	424	1	1472	781	665	0	6481	92	3	0	0	1	0	4	92	0	7	0	166.966183008017	-4.58714329742043	1.29218663317422	-3.54990771429994	0.000385366217729039	0.00387241371355537
"698"	"ENSG00000119574"	"84878"	"ZBTB45"	"zinc finger and BTB domain containing 45"	1476	975	1424	1563	1307	1924	1603	733	1053	774	39	352	561	1248	746	753	1339	543	566	53	793.322048358795	-0.979699418307124	0.286598023590959	-3.41837464903589	0.000629963277854485	0.00570315736565053
"699"	"ENSG00000119681"	"4053"	"LTBP2"	"latent transforming growth factor beta binding protein 2"	165	25	1439	123	33	58	38	8442	256	672	159	636	708	45	55	81	263	279	290	32	228.640733354512	1.93757433727479	0.591697257719594	3.27460422031059	0.0010581010094583	0.00862094289377532
"700"	"ENSG00000119698"	"57718"	"PPP4R4"	"protein phosphatase 4 regulatory subunit 4"	16	90	87	2	15	15	11	230	30	1697	0	129	632	17	1143	75	10	2	804	5	193.423007749046	3.4207379307904	0.980850287763468	3.48752299251536	0.000487517003291433	0.00468870863414903
"701"	"ENSG00000119711"	"4329"	"ALDH6A1"	"aldehyde dehydrogenase 6 family member A1"	1578	826	5214	2508	1087	839	939	360	830	855	184	1093	664	1237	624	1310	743	619	742	116	957.05223869844	-1.01896261026531	0.337121620381549	-3.02253711616617	0.00250665341042984	0.0167986501758407
"702"	"ENSG00000119714"	"8111"	"GPR68"	"G protein-coupled receptor 68"	27	986	694	388	547	462	457	20	96	39	80	126	12	17	4	59	23	25	9	3	181.140377593047	-2.67975462041589	0.758640482679826	-3.53231165696551	0.000411943551741223	0.00408624944459798
"703"	"ENSG00000119715"	"2103"	"ESRRB"	"estrogen related receptor beta"	30	1	0	8	1	2	0	0	5	6	0	8	6	2	3	13	4	6	7	16	7.81922340280042	2.53658049330324	0.961991739773351	2.63680070049341	0.00836919867009302	0.0414149006642509
"704"	"ENSG00000119729"	"23433"	"RHOQ"	"ras homolog family member Q"	1683	2539	847	927	1741	1517	1439	2124	1644	3558	1195	1320	2485	1841	4243	2853	2227	1662	3677	793	2143.26998636902	1.08699646098667	0.357128508601317	3.04371237469631	0.00233678438447069	0.0159227965839212
